score;segment;navn;orgnr;orgform;kanal;epost;telefon;hjemmeside;adresse;postnr;poststed;kommune;ansatte;naeringskode;registrert;formaal;score_grunnlag
70;eiendom;TAKSTFABRIKKEN AS;915146678;AS;e-post/telefon;post@takstfabrikken.no;76 92 81 00;www.takstfabrikken.no;SIVA II, Bjørkåsveien 20B;8540;BALLANGEN;NARVIK;0;71.121 Byggeteknisk konsulentvirksomhet;2015-03-24;Taksering fast eiendom, skade, kontroll, konsulenttjenester, bygg- og tømrermester, tjenester innen bygg og andre tjenester/produkter som naturlig faller sammen med dette, herunder å delta i andre selskaper med lignende virksomhet, kjøp og salg av aksjer, eller på annen måte gjøre seg interessert i andre foretagender.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
70;eiendom;TRONDHEIM TAKST AS;913410793;AS;e-post/telefon;srskretting@hotmail.com;932 67 227;www.trondheimtakst.no;Reitanveien 14;7510;SKATVAL;STJØRDAL;;68.320 Eiendomsforvaltning på oppdrag;2014-04-09;Takst av alt innenfor eiendom, skade, næring. Rapportering, bygg og anleggsrelatert virksomhet.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret + hjemmeside
65;eiendom;BIRKELAND TAKSERING AS;980590666;AS;e-post/telefon;roger.birkeland@mimer.no;901 34 242;;Breivikvegen 145;6014;ÅLESUND;ÅLESUND;0;68.320 Eiendomsforvaltning på oppdrag;1999-04-13;Verditaksering av tomt-, bolig- og næringseiendom. Skadetaksering og skjønn. Entreprenørvirksomhet innen glass-, tre- og vedlikeholdsarbeid og kjøp og salg av tilhørende produkter, samt ved aksjetegning eller på annen måte deltagelse i andre selskaper.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret
65;eiendom;BK TAKST OG EIENDOMS SERVICE AS;897404672;AS;e-post/telefon;berntern@mac.com;920 36 545;;Thomas Heftyes gate 56A;0267;OSLO;OSLO;;68.320 Eiendomsforvaltning på oppdrag;2011-10-03;Taksering av bygg og anlegg, taksering av bygningsmessige skader, byggeledelse og byggeteknisk rådgivning.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret
65;eiendom;GS BYGG OG TAKST AS;989824600;AS;e-post/telefon;gunnarseltveit@hotmail.com;97 16 82 03;;Verketvegen 12;3882;ÅMDALS VERK;TOKKE;;41.000 Oppføring av bygninger;2006-05-19;Oppføring og vedlikehold av bygg og anlegg, bygging av stålbygg herunder næringsbygg, offentlige bygg og boliger og import av byggematerialer samt annen virksomhet som måtte falle naturlig sammen med dette. Annen virksomhet er bygg- og skadetaksering.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret
65;eiendom;M2 TAKSERING AS;911548860;AS;e-post/telefon;;;www.m2taksering.no;Ropernveien 15D;1367;SNARØYA;BÆRUM;;68.320 Eiendomsforvaltning på oppdrag;2013-02-11;Taksering av næring- og boligbygg samt taksering av skader og opptre som skjønnsmann.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + hjemmeside
65;eiendom;NAMDAL BOLIG OG TAKST AS;980380394;AS;e-post/telefon;kurt.lindseth@boligpartner.no;952 42 823;;Lensmann Havigs gate 2D;7800;NAMSOS;NAMSOS;0;68.110 Kjøp og salg av egen fast eiendom;1999-02-18;Utvikling/rådgiving og salg av nye boliger, hytter og flermannsboliger. Tjenester innen taksering av bygningsskader, tilstandsrapporter og beslektede tjenester for private, megler og forsikringsbransjen.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret
65;eiendom;OSLO BYGG OG TAKSERING AS;926809857;AS;e-post/telefon;oslobyggogtaksering@gmail.com;;;Operagata 9;0194;OSLO;OSLO;0;41.000 Oppføring av bygninger;2021-03-17;Håndverkertjenester og taksering. Oppføring av nye boliger og næringsbygg, diverse rehabilitering/renoverings arbeider, bad, kjøkken, piper og ildsteder. Pluss verditakst , tilstandsrapport av boliger og skadetakt.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret
65;eiendom;OSLO TAKSTKONTOR AS;914773059;AS;e-post/telefon;;;www.oslo-takst.no;Hauketoveien 3B;1266;OSLO;OSLO;;71.121 Byggeteknisk konsulentvirksomhet;2015-01-09;Tjenesteyting, servicetilbyder og kontorfellesskap for byggmestre og takstmenn. Herunder tekniske tilstandsanalyser, verditaksering, skattetaksering, skadetaksering og annet som er relevant for bransjen.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + hjemmeside
65;eiendom;TAKST & BYGGKONTROLL AS;821130972;AS;e-post/telefon;post@takstogbyggkontroll.no;;;Storgata 28;9008;TROMSØ;TROMSØ;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2018-07-06;Takseringsvirksomhet, byggekonsulent tjenester og andre produkter som naturlig faller sammen med dette. Selskapet skal også kunne foreta kapitalplasseringer i andre selskap, fond og i eiendom. Takseringstjenester innen bygg og eiendom, skadetaksering, byggekontroll, byggekonsulent, verdi- og lånetakster, verdivurderinger, reklamasjonsrapporter, eierskifterapporter, tilstandsrapporter, skjønn, naturskade, uavhengig kontroll, bistand, overtakelsesforretning, 1-års befaringer, bad/våtrom mv., samt investering i næringsvirksomhet, eiendom, herunder aksjer og andeler, samt deltagelse i andre selskaper med lignende virksomhet og annet som naturlig faller sammen med dette.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret
65;eiendom;TAKST & TØMRERMESTER S.KRAFT AS;995188848;AS;e-post/telefon;stiankraft@hotmail.com;93 43 26 44;;Hansemyrveien 28B;0880;OSLO;OSLO;;68.320 Eiendomsforvaltning på oppdrag;2010-02-17;Verditakstering, tilstandsanalyse, boligsalgsrapport, skadetakstering ved skjønn, innbo og løsøre, næringstakst, byggledelse, nybygg, tilbygg og rehabilitering innenfor bygg- og anleggsbransjen, samt alt som naturlig faller inn under dette.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret
65;eiendom;TAKSTFORUM VEST AS;988814415;AS;e-post/telefon;arthur.sundt@broadpark.no;;;Steinsvikskrenten 10;5237;RÅDAL;BERGEN;;68.320 Eiendomsforvaltning på oppdrag;2005-10-31;Å yte tjenester med taksering av eiendom, skade, skjønn og rådgivning, samt investering i og utvikling av fast eiendom og det som står i forbindelse med dette, samt deltagelse i andre selskaper.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret
65;eiendom;TAKSTMANN HALVARD GODØ AS;915415105;AS;e-post/telefon;halvard@moretakst.no;473 06 811;;Ådalsvegen 41;6055;GODØYA;GISKE;0;68.320 Eiendomsforvaltning på oppdrag;2015-05-29;Taksering: verditaksering av fast eiendom, tilstandsrapportering av byggverk, skadetaksering, skjønn. Byggmestervirksomhet: oppføring av bygninger, leveranse og videresalg av byggevarer.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret
65;eiendom;TAKSTMANN ØYVIND TJERVÅG AS;915495605;AS;e-post/telefon;oyvind@moretakst.no;934 80 761;;Tiggeteberget 1;6065;ULSTEINVIK;ULSTEIN;0;68.320 Eiendomsforvaltning på oppdrag;2015-06-10;Taksering av eiendommer, utarbeiding av boligsalgsrapporter, gjennomføring av skadetakseringer, reklamasjonsrapporter og konsulentvirksomhet innenfor disse områder. Tar også på seg snekkerjobber og vedlikehold av bygninger.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret
65;eiendom;TEN TAKST & EIENDOM AS;926119052;AS;e-post/telefon;tenholding@online.no;454 37 268;;Fjellvegen 32;2053;JESSHEIM;ULLENSAKER;0;68.320 Eiendomsforvaltning på oppdrag;2020-12-08;Taksering av skader på hus og eiendom, samt det som herunder faller naturlig sammen.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret
65;eiendom;TRIO TAKST AS;996952452;AS;e-post/telefon;skadetakst@live.no;906 47 212;;Stalsbergveien 16B;3128;NØTTERØY;FÆRDER;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2011-05-31;Boligtakst, verdivurdering og skadetaksering på bygninger og eiendom. Tilbyr tilstandsrapport på bolig, fritidshus og eiendom. Rådgivning, utføring og kvalitetssikring av byggeprosesser.  ;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret
65;eiendom;VAKTIV TAKST - INNEKLIMA OG SIKKERHETSRÅDGIVNING AS;981330803;AS;e-post/telefon;vaktiv@online.no;909 21 210;;Morteskjær 29;1726;SARPSBORG;SARPSBORG;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;1999-12-10;Utbedringsarbeider vedr. bygninger og forsikringssaker. Taksering innen skade, reklamasjon, skjønn og naturskader. Forestå tilstandsanalyser. Termografi og inneklimamålinger. Forestår prøver av mugg, treødeleggende sopper, hussopper, skadeinsekter, fukt, radon, PCB og asbest. Utarbeidelse av rapporter i tilknytning til overnevnte. Salg av sikkerhetstjenester, produkter og installasjoner. Bygningstekniske reparasjoner. Utbedringstjeneste og nyoppføringer. Opplæring innen overnevnte fagområder. Forstå skadeoppgjør i forsikringssaker. Produksjon og distribusjon av musikk. Kjøp og salg av aksjer, eiendom.  ;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + e-post i registeret
65;eiendom;AAA-TAKST AS;992162295;AS;e-post/telefon;;97773333;www.aaa-takst.no;Kilaveien 267;8186;TJONGSFJORDEN;RØDØY;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2008-01-23;Taksering av verdi, skade, tilstand på fast eiendom og løsøre. I tillegg skal det også drives følgende virksomheter: Rådgivning, konsulenttjenester, undervisning, kurs innenfor bygg, anlegg, maritim, nautisk. Eierskap og drift av fast eiendom. Investering i verdipapirer. Kjøp, salg og import av byggevarer.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig) + hjemmeside
60;eiendom;A-TAKST SALTEN AS;929293908;AS;e-post/telefon;;;;Trålveien 56;8013;BODØ;BODØ;0;68.320 Eiendomsforvaltning på oppdrag;2022-06-02;Taksering av boliger, tilstandstaksering, skadetaksering og taksering av naturskade, byggeteknisk rådgiving. Investering i utstyr, selskaper og boliger, samt hva som naturlig hører inn under dette.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;ABACUS TAKST AS;997606590;AS;e-post/telefon;;;;Stensjordvegen 9;2825;GJØVIK;GJØVIK;0;68.320 Eiendomsforvaltning på oppdrag;2011-12-13;Taksering av eiendom og skade samt all virksomhet som naturlig hører inn under dette.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;AKTIV TAKST AS;831807172;AS;e-post/telefon;;;;Espeviklia 28;5560;NEDSTRAND;TYSVÆR;0;68.320 Eiendomsforvaltning på oppdrag;2023-08-01;Taksering av bolig og skader, rådgiver.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;ALMANKAAS TAKST AS;996872092;AS;e-post/telefon;;;;Vestsideveien 3D;3403;LIER;LIER;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2011-05-02;"Takst og konsulentvirksomhet innen bygg; skade og verditaksering, boligsalgsrapporter, naturskader og sjøn samt rehabilitering og oppføring av bygg.";skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;AMUNDSEN TAKSERING;886272502;ENK;telefon/LinkedIn (ENK — ikke uanmodet e-post);arealtakst@online.no;907 17 000;www.arealtakst.no;Grimstadvegen 102;5252;SØREIDGREND;BERGEN;;68.320 Eiendomsforvaltning på oppdrag;2003-12-01;Taksering av fast eiendom og bygningsskade. Utleie av håndtverkertjenester.;skade/forsikring i formål + eiendom i formål + e-post i registeret + hjemmeside
60;eiendom;AMUNDSEN TAKST OG TILSTANDSANALYSE AS;930321419;AS;e-post/telefon;;;;Grønnsundbakken 27;1816;SKIPTVET;SKIPTVET;0;68.320 Eiendomsforvaltning på oppdrag;2022-11-28;Taksering av fast eiendom og skadetakst.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;BJØRNHOM TAKST;998577411;ENK;telefon/LinkedIn (ENK — ikke uanmodet e-post);kenneth.bjornhom@gmail.no;93 43 64 56;www.bjornhomtakst.no;Dvergsneslia 10;4639;KRISTIANSAND S;KRISTIANSAND;;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2012-07-03;Alt av takseringstjenester av bygninger og fast eiendom herunder skade-, reklamasjon-, verdi- og lånetakst. Konsulent og tjenester innen bygg- og anleggsbransjen herunder uavhengig bygningskontroll, tetthetsmålinger, byggelånsoppfølging og byggeledelse.;skade/forsikring i formål + eiendom i formål + e-post i registeret + hjemmeside
60;eiendom;BJØRNHOM TAKST AS;929425715;AS;e-post/telefon;;;;Dvergsneslia 10;4639;KRISTIANSAND S;KRISTIANSAND;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2022-06-27;Taksering av eiendom, reklamasjonstaksering, skadetaksering, uavhengig kontroll av klimaskjerm på bolig og fuktsikring av våtrom. Bygningsregistrering i forbindelse med anleggsarbeid.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;BODØ TAKST. AS;824705372;AS;e-post/telefon;;;;c/o Martin Fagerheim, Langåsveien 12;8010;BODØ;BODØ;;68.320 Eiendomsforvaltning på oppdrag;2020-03-05;Taksering av boliger, tomter, og skader. konsulenttjenester innen bygg og eiendom.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;BORGEN TAKST AS;828693662;AS;e-post/telefon;;;;Nordfaret 4A;1484;HAKADAL;NITTEDAL;0;68.320 Eiendomsforvaltning på oppdrag;2022-02-07;Taksering av bolig. Tilstandsrapport / skade / verdi.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;BVS TAKST AS;937665962;AS;e-post/telefon;;;;Dovregubben 1A;1535;MOSS;MOSS;;68.320 Eiendomsforvaltning på oppdrag;2026-05-06;Taksering av bolig og eiendom, tilstandsrapporter, verditakst, skadetakst og byggteknisk rådgivning.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;BYGGMESTER OG TAKSTMANN ONKEL BANKE, TERJE JOHNSEN;926336681;ENK;telefon/LinkedIn (ENK — ikke uanmodet e-post);terje@onkelbanke.no;907 81 421;Onkelbanke.no;Huiveien 1;3133;DUKEN;FÆRDER;;71.121 Byggeteknisk konsulentvirksomhet;2021-01-08;Prosjektering, søknad,  og utførende og kontrollerende i bygg og anleggstiltakelse. Taksering, skadetakst, tilstansrapport, eierskifterapport og verditakst. Konsulenttjenester.;skade/forsikring i formål + eiendom i formål + e-post i registeret + hjemmeside
60;eiendom;DOKKEN TAKST AS;930798835;AS;e-post/telefon;;;;Vetlerudveien 25;3614;KONGSBERG;KONGSBERG;0;68.320 Eiendomsforvaltning på oppdrag;2023-02-09;Taksering av boligeiendom, fritidseiendom og næringseiendom, samt taksering av naturskade. Tømrerarbeid, samt det som hører sammen med dette.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;FOKUS TAKST AS;914398878;AS;e-post/telefon;;;;Dronningens gate 56;8514;NARVIK;NARVIK;0;68.320 Eiendomsforvaltning på oppdrag;2014-11-03;Taksering av fast eiendom og skader samt konsulentvirksomhet og eierskap i andre selskaper.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;G.O TAKSERING AS;934843185;AS;e-post/telefon;;;;Fuglerudvegen 6;2070;RÅHOLT;EIDSVOLL;;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2025-01-14;Takstmann. Taksering av bolig, tilstandsrapporter og skaderapporter.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;GAUTESTAD TAKST OG KONSULT AS;999329543;AS;e-post/telefon;;911 61 817;;Bergvavegen 1;4735;EVJE;EVJE OG HORNNES;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2013-01-14;Takst, skadetakst, verditakst, skjønn, boligsalgsrapport, tilstandsrapport, teknisk tegning (DAK), uavhengig kontroll, byggprosjektering, byggesøknad.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;HA TAKST & RÅDGIVNING AS;832172642;AS;e-post/telefon;;;;Apalveien 14;3514;HØNEFOSS;RINGERIKE;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2023-10-03;Takst og konsulentvirksomhet innen bygg og skadetaksering.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;HALSE TAKST AS;930014230;AS;e-post/telefon;;;;Stubben 2;7520;HEGRA;STJØRDAL;0;68.320 Eiendomsforvaltning på oppdrag;2022-10-11;Tilstandsvurdering av bolig og næringseiendom, verdi/lånetakast, skadetakst, byggekonsultasjon.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;HAARR TAKST AS;930195111;AS;e-post/telefon;;;;Vølstadveien 26B;4026;STAVANGER;STAVANGER;0;68.320 Eiendomsforvaltning på oppdrag;2022-11-14;Taksering av bolig, verditaksering, skadetaksering og reklamasjonstakst.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;IGELKJØN TAKST AS;932918129;AS;e-post/telefon;;;;Gamle Vindenesvegen 61;5363;ÅGOTNES;ØYGARDEN;0;68.320 Eiendomsforvaltning på oppdrag;2024-01-30;Takstmann. Tilstandsrapporter ved boligsalg. Skadetakst ved forsikringssaker. Verdi vurdering bolig.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;JAKOBSEN TAKST OG BYGG AS;927817438;AS;e-post/telefon;;;;Østenbekkveien 42A;9403;HARSTAD;HARSTAD;0;68.320 Eiendomsforvaltning på oppdrag;2021-09-27;Taksering av eiendommer, skadetakst og energirådgivning.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;JS TAKST AS;929451023;AS;e-post/telefon;;;;Furuvegen 16A;2870;DOKKA;NORDRE LAND;0;68.320 Eiendomsforvaltning på oppdrag;2022-07-04;Taksering av eiendomsverdi og skade. Bygge og prosjektledelse. Bistand ved kjøp og salg av boliger, befaringer og overtagelser. Uavhengig kontroll av våtrom og lufttetthet. Investering i andre selskaper samt utleie av eiendom.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;KRAGERØ TAKST AS;914750423;AS;e-post/telefon;;;;Hasseldalsveien 6;3790;HELLE;KRAGERØ;0;68.320 Eiendomsforvaltning på oppdrag;2015-01-16;Verdsetting og vurdering av fast eiendom, i første rekke bolig, men ved sporadiske tilfeller også næringseiendom. Bistå forsikringsselskap og deres kunder i fastsettelse av erstatningsbeløp og oppfølging av gjenoppbygging. Bygteknisk bistand som tredje parts kontroll, prosjektering, byggesøknad og bistå med byggteknisk kompetanse. Kjøp, salg, utleie og utvikling av fast eiendom.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;LIERNE TAKST & EIENDOMSSERVICE AS;932832585;AS;e-post/telefon;;;;Grønlundveien 8;7884;SØRLI;LIERNE;0;68.320 Eiendomsforvaltning på oppdrag;2024-01-16;Bygg og eiendomstaksering i forbindelse med reklamasjoner, salg, skader og verdisetting. I tillegg skal bedriften tilby en rekke andre tjenester innen bygg- og eiendomsforvaltning.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;LOSSIUS TAKST AS;924454539;AS;e-post/telefon;;;;Kirkekleiva 38;4790;LILLESAND;LILLESAND;0;68.320 Eiendomsforvaltning på oppdrag;2020-01-21;Aktiviteten for Lossius Takst AS er takseringsvirksomhet, bygg-kontroll, konsulent- og rådgivninvgstjenester. Takseringsvirksomhet: Boligsalgsrapport, tilstandsrapport, verdivurdering av bolig eiendom og tomt, skadetaksering, reklamasjonstaksering. Byggkontroll virksomhet: Uavhengig kontroll av bygg under oppføring (våtrom og tetthet), trykktesting av bygg og byggelånsoppfølging.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;MELLEGÅRD TAKST & EIENDOMSRÅDGIVNING;994742000;ENK;telefon/LinkedIn (ENK — ikke uanmodet e-post);to-erim@online.no;941 61 730;www.mellegard.no;Skramrudåsen 44;1860;TRØGSTAD;INDRE ØSTFOLD;;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2009-11-07;Skadetaksering av bygg, eiendom og natur, byggeledelse, prosjektledelse, rådgivning og utleie av arbeidskraft og alt som naturlig faller inn under dette.;skade/forsikring i formål + eiendom i formål + e-post i registeret + hjemmeside
60;eiendom;MIKALSEN TAKST AS;924429798;AS;e-post/telefon;;;;Veståsen 6;8072;BODØ;BODØ;0;68.320 Eiendomsforvaltning på oppdrag;2020-01-17;Taksering av eiendom og skadetaksering.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;MK TAKST AS;929065441;AS;e-post/telefon;;;;Halvorsens vei 6;1365;BLOMMENHOLM;BÆRUM;0;74.990 All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted;2022-04-12;Utføre tilstandsrapport, taksering og skadetakst av bolig.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;MOSS TAKST AS;935821908;AS;e-post/telefon;;;;Texneslia 11;1591;SPERREBOTN;VÅLER;;68.320 Eiendomsforvaltning på oppdrag;2025-07-08;Taksering av eiendom. Tilstandsrapporter og boligsalgsrapporter. Skadetaksering og reklamasjonsvurdering. Konsulenttjenester innen bygg og eiendom. Prosjektering og utførelse av bygningsarbeid.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
60;eiendom;MUR OG TAKST AS;935081211;AS;e-post/telefon;;;;Østlia 1C;1592;VÅLER I ØSTFOLD;VÅLER;0;43.910 Murerarbeid;2025-02-21;Alt innen mur og flislegging. Eiendomstakst, tilstandsvurdering, uavhengig kontroll, skadetakst, reklamasjonstakst. Utleie av verktøy og utstyr.;skade/forsikring i formål + eiendom i formål + AS (e-post lovlig)
